idx,type,value
130,GPE,華盛頓州
131,TIME,晚上11：06
132,GPE,美國
133,GPE,台灣
134,GPE,台灣
135,GPE,英國
136,GPE,法國
137,LOC,歐洲
138,DATE,一年
139,CARDINAL,兩
140,TIME,一小時
141,GPE,洛杉磯
142,GPE,台灣
143,TIME,1月1號晚上八點多
144,PERSON,B12 
145,ORG,B13 恩恩 港科大
146,DATE,去年
147,DATE,新年
148,ORG,城大
149,ORG,港大科大
150,GPE,奧克蘭
151,TIME,晚上
152,DATE,新年
153,DATE,2-3年
154,GPE,台灣
155,PRODUCT,B4 
156,TIME,跨年
157,GPE,英國
158,LOC,歐
159,GPE,英國
160,GPE,紐西蘭
161,GPE,台灣
162,PERSON,B8 
163,GPE,威靈頓
164,NORP,台灣人
165,PERSON,B34 
166,ORG,維大
167,ORG,東大
168,GPE,新加坡
169,GPE,美國
170,GPE,台灣
171,GPE,美國
172,CARDINAL,20
173,PRODUCT,QQ
174,CARDINAL,兩
175,ORG,歐州學校
176,PRODUCT,QQ
177,GPE,昆士蘭
178,CARDINAL,二
179,NORP,台灣人
180,CARDINAL,三
181,GPE,美國
182,PERSON,B68
183,PERSON,葉佩
184,DATE,下學期
185,NORP,Okanagan college
186,GPE,加拿大
187,GPE,紐西蘭
188,GPE,台灣
189,ORG,奧大醫學系
190,GPE,紐西蘭
191,CARDINAL,3
192,GPE,加拿大
193,DATE,一天
194,GPE,台灣
195,GPE,美國
196,GPE,台
197,CARDINAL,兩
198,GPE,美國
199,PERSON,哇sky tower
200,DATE,一歲
201,ORG,B1 
202,ORG,UCL
203,GPE,台灣
204,LANGUAGE,中文
205,LANGUAGE,英文
206,PERSON,B13 
207,DATE,昨天
208,PERSON,B7 
209,GPE,惠靈頓
210,ORG,UCL 
211,PERSON,B11 
212,GPE,美國
213,PERSON,B11 
214,GPE,美國
215,ORG,史丹佛
216,DATE,下學期
217,ORG,經濟所
218,PERSON,換馨怡
219,GPE,美國
220,PERSON,B19 
221,CARDINAL,700
222,DATE,2020秋
223,CARDINAL,三
224,DATE,去年6月
225,DATE,2019秋
226,CARDINAL,105
227,CARDINAL,七百
228,ORG,MSIS
229,ORG,托福
230,DATE,去年
231,ORG,MSBA
232,DATE,大半年
233,GPE,英國
234,DATE,一年
235,GPE,加拿大
236,LOC,美洲
237,GPE,加拿大
238,GPE,德國
239,GPE,美國
240,GPE,西雅圖
241,DATE,完年
242,TIME,12小時前
243,ORG,MSIS
244,ORG,MSBA
245,EVENT,三戰
246,DATE,半年
247,CARDINAL,700
248,CARDINAL,兩
249,CARDINAL,700
250,DATE,2019
251,FAC,布魯克林橋
252,TIME,昨晚
253,PERSON,cheer up
254,DATE,跨年
255,TIME,12/31 晚上
256,DATE, 2018
257,GPE,澳洲
258,GPE,奧克蘭
259,PERSON,witness
260,ORG,B22 OPP
261,MONEY,一分錢
262,CARDINAL,30 
263,ORG,SKYPE
264,DATE,半年
265,DATE,一年
266,DATE,半年
267,ORG,史丹佛
268,GPE,台灣
269,GPE,韓國
270,TIME,當天晚上12點
271,DATE,2017
272,DATE,跨年前
273,CARDINAL,1/3
274,DATE,去年
275,MONEY,€€€
276,CARDINAL,11
277,NORP,香港人
278,DATE,一年
279,CARDINAL,一
280,EVENT,二戰
281,PRODUCT,GWD24
282,DATE,農曆年前
283,DATE,農曆年前
284,CARDINAL,50
285,CARDINAL,7
286,CARDINAL,51
287,ORDINAL,第四
288,CARDINAL,100
289,ORG,B13  GPA
290,CARDINAL,61
291,DATE,半年
292,ORG,蒙納許大學
293,CARDINAL,7.0
294,ORG,雪梨大學
295,DATE,12/18
296,CARDINAL,6.5
297,GPE,台灣
298,LANGUAGE,英文
299,CARDINAL,八
300,LANGUAGE,英文
301,GPE,澳洲
302,CARDINAL,兩
303,GPE,台灣
304,ORG,雪梨大學
305,DATE,1.5年
306,GPE,台灣
307,CARDINAL,6.0
308,DATE,11/12
309,DATE,11/12
310,ORG,昆士蘭大學
311,GPE,新南威爾斯
312,DATE,兩年
313,LANGUAGE,英文
314,ORG,UNSW 
315,GPE,台灣
316,GPE,台灣
317,ORG,蒙納許大學
318,GPE,澳洲
319,CARDINAL,6.5
320,CARDINAL,2019
321,ORG,新南威爾斯大學
322,ORG,新南威爾斯大學
323,DATE,兩個月
324,LANGUAGE,英文版
325,ORG,昆士蘭大學
326,NORP,澳洲
327,DATE,三年
328,DATE,一年
329,DATE,一年
330,ORG,Brno
331,GPE,波蘭
332,LANGUAGE,英語
333,GPE,華沙
334,CARDINAL,三
335,GPE,布拉格
336,LANGUAGE,英文
337,CARDINAL,兩
338,CARDINAL,兩
339,GPE,倫敦
340,GPE,倫敦
341,GPE,倫敦
342,DATE,情人節
343,DATE,今年
344,CARDINAL,19
345,NORP,台灣
346,GPE,台灣
347,GPE,俄國
348,CARDINAL,一兩百
349,ORG,世新
350,NORP,馬來西亞人
351,GPE,台灣
352,GPE,南華
353,GPE,靜宜
354,PERSON,hiii
355,ORG,傳播系
356,ORG,玄奘
357,GPE,朝陽
358,ORG,銘傳
359,DATE,今年9月
360,ORG,淡江
361,GPE,中國
362,ORG,世新
363,ORG,世新
364,ORG,世新
365,ORG,B1 
366,ORG,傳播系
367,ORG,b2 交大
368,ORG,銘傳
369,GPE,台灣
370,PERSON,淡江
371,NORP,台灣
372,CARDINAL,1/20
373,CARDINAL,三
374,LANGUAGE,英文
375,LANGUAGE,英文
376,GPE,怡朗
377,DATE,第一個禮拜
378,CARDINAL,兩
379,DATE,六個月
380,GPE,韓
381,CARDINAL,1/24
382,TIME,15分鐘
383,GPE,日
384,DATE,第二禮拜
385,CARDINAL,兩
386,LANGUAGE,英文
387,CARDINAL,50
388,CARDINAL,1
389,CARDINAL,兩
390,GPE,怡朗
391,DATE,2003年
392,CARDINAL,1-2
393,GPE,中國
394,GPE,宿霧
395,TIME,30分鐘
396,PERCENT,70%
397,GPE,馬尼拉
398,DATE,5年以上
399,CARDINAL,35-45
400,DATE,十多年
401,CARDINAL,1
402,DATE,2019年4月
403,DATE,1.5個月
404,ORG,UCL
405,CARDINAL,4.0
406,CARDINAL,2.6
407,GPE,倫敦
408,ORG,UCL
409,PERSON,傑xx
410,GPE,高雄
411,GPE,高雄
412,GPE,高雄
413,PERSON,B5 
414,GPE,高雄
415,GPE,台北
416,PERSON,B7 
417,NORP,韓國人
418,GPE,韓國
419,NORP,台灣
420,GPE,巴西
421,GPE,韓國
422,GPE,美國
423,GPE,義大利
424,GPE,義大利
425,GPE,中國
426,GPE,義大利
427,GPE,阿根
428,DATE,八月
429,GPE,義大利
430,GPE,墨西哥
431,GPE,巴薩米克
432,DATE,半年
433,GPE,冰島
434,GPE,義大利
435,LANGUAGE,英文
436,PERSON,B14
437,PERSON,B2 
438,CARDINAL,2019
439,DATE,2019
440,CARDINAL,兩
441,DATE,去年12月底
442,DATE,去年11月初
443,CARDINAL,百
444,ORG,US News or QS
445,CARDINAL,50
446,GPE,美國
447,CARDINAL,一
448,GPE,美
449,CARDINAL,600
450,ORG,Vegas
451,CARDINAL,650
452,GPE,美國
453,DATE,4年半
454,GPE,美國
455,CARDINAL,100
456,CARDINAL,幾百萬
457,PERSON,銘傳
458,ORG,銘傳
459,DATE,半年
460,GPE,俄國
461,GPE,澳洲
462,ORG,B1 商學院
463,DATE,3月4月
464,GPE,德國
465,CARDINAL,三
466,CARDINAL,一
467,GPE,德國
468,LANGUAGE,德語
469,LOC,歐
470,NORP,美
471,LOC,歐
472,NORP,美
473,CARDINAL,018
474,NORP,歐
475,DATE,一天
476,FAC,台北市大同區承德路一段35號7樓
477,NORP,美
478,TIME,11:10
479,TIME,45分鐘
480,CARDINAL,一
481,PERSON,香勒
482,PERSON,玄奘
483,GPE,美國
484,PERCENT,G8
485,GPE,澳洲
486,GPE,華沙
487,CARDINAL,半
488,NORP,韓國人
489,GPE,美國
490,GPE,台灣
491,ORG,Comp Sci
492,DATE,"2,3月"
493,GPE,德國
494,LANGUAGE,英語
495,LANGUAGE,德語
496,GPE,德國
497,GPE,台灣
498,ORG,托福
499,NORP,台灣
500,GPE,美國
501,CARDINAL,100萬
502,CARDINAL,5萬
503,CARDINAL,7萬
504,ORG,UBC
505,LANGUAGE,英文
506,LANGUAGE,英文
507,LANGUAGE,英文
508,MONEY,一萬二加幣
509,CARDINAL,六
510,GPE,香港
511,DATE,秋天
512,DATE,明天
513,DATE,今年
514,GPE,英國
515,CARDINAL,四
516,GPE,英國
517,ORG,IDP
518,DATE,2018年
519,LANGUAGE,英語
520,DATE,3年
521,MONEY,65000元
522,CARDINAL,一
523,CARDINAL,3-5
524,LANGUAGE,西語
525,LANGUAGE,日語
526,LANGUAGE,英語
527,MONEY,45000元
528,CARDINAL,一
529,LANGUAGE,英語系
530,GPE,加
531,DATE,四年
532,CARDINAL,三
533,GPE,英國
534,CARDINAL,一
535,CARDINAL,五
536,GPE,英國
537,CARDINAL,兩
538,GPE,英國
539,GPE,台灣
540,GPE,英國
541,GPE,法國
542,DATE,2018年9月
543,NORP,英國人
544,GPE,比利時
545,DATE,前一天
546,DATE,第六周
547,LANGUAGE,英文
548,NORP,台灣人
549,LANGUAGE,英文
550,DATE,五周
551,GPE,台灣
552,CARDINAL,三分之一
553,GPE,台灣
554,FAC,倫敦希斯洛機場
555,GPE,倫敦
556,LOC,歐洲
557,GPE,倫敦
558,NORP,倫敦人
559,ORG,輔大
560,LANGUAGE,英文
561,CARDINAL,60
562,LANGUAGE,英文
563,CARDINAL,五，六倍以上
564,GPE,台灣
565,NORP,加拿大
566,PRODUCT,B12
567,NORP,台灣人
568,PRODUCT,B3 
569,MONEY,45000加幣
570,MONEY,12000加幣
571,PERSON,Monah
572,LANGUAGE,中文版
573,CARDINAL,10幾
574,CARDINAL,60
575,NORP,澳洲
576,ORG,Bachelor of Health Science
577,ORG,UTS
578,GPE,澳洲
579,GPE,臺灣
580,GPE,澳洲
581,GPE,臺灣
582,NORP,澳洲
583,ORG,中山醫學大學
584,NORP,澳洲
585,GPE,美國
586,CARDINAL,兩
587,ORG,總統府
588,NORP,澳洲
589,GPE,澳洲
590,CARDINAL,60
591,CARDINAL,一半
592,CARDINAL,三
593,CARDINAL,大三
594,GPE,B18 港城
595,ORG,城大
596,NORP,香港人
597,NORP,澳洲
598,ORG,UTS
599,LANGUAGE,中文
600,CARDINAL,75
601,GPE,台灣
602,GPE,台灣
603,GPE,台灣
604,DATE,四年
605,GPE,台灣
606,NORP,澳洲
607,DATE,一年
608,NORP,澳洲
609,PRODUCT,B15
610,DATE,2月底3月
611,CARDINAL,2.8
612,PRODUCT,B10
613,LANGUAGE,歐語系
614,GPE,美國
615,GPE,美國
616,PERSON,B1 
617,ORG,UTS
618,GPE,義大利
619,ORG,B1 
620,PERCENT,70%
621,PERCENT,80%
622,GPE,臺灣
623,ORDINAL,第一
624,NORP,澳洲
625,GPE,台灣
626,GPE,澳洲
627,DATE,3個月
628,DATE,3個月
629,GPE,菲律賓
630,GPE,菲律賓
631,DATE,2年
632,PERSON,B22
633,TIME,晚上
634,TIME,一個小時
635,DATE,一天
636,TIME,白天
637,GPE,台灣
638,GPE,美國
639,GPE,美國
640,PERCENT,65%
641,GPE,台灣
642,GPE,南卡羅萊納
643,ORG,國際商學院
644,DATE,13年
645,CARDINAL,97
646,GPE,倫敦
647,GPE,墨爾本
648,CARDINAL,兩
649,GPE,澳洲
650,DATE,一年
651,GPE,美國
652,PERSON,B1 
653,NORP,英國
654,CARDINAL,三
655,DATE,6月
656,CARDINAL,500
657,LOC,南洋
658,GPE,加坡
659,DATE,3、4月
660,LOC,亞洲
661,DATE,一整年
662,LANGUAGE,英文
663,GPE,中國
664,CARDINAL,2020
665,GPE,香港
666,CARDINAL,7
667,DATE,2020
668,LANGUAGE,英文
669,GPE,台灣
670,DATE,今年
671,DATE,2月
672,DATE,16年6月
673,DATE,一年至2017年11月
674,DATE,今年
675,DATE,一年多
676,DATE,2月
677,DATE,2018年11月初
678,DATE,7月
679,CARDINAL,三
680,ORG,台大
681,GPE,韓國
682,CARDINAL,3.02
683,ORG,港大
684,GPE,台灣
685,CARDINAL,3.02
686,GPE,美國
687,LANGUAGE,英文
688,GPE,美國
689,ORG,南卡大學
690,CARDINAL,兩
691,ORG,南卡商學院
692,ORG,南加大
693,GPE,美國
694,ORG,南加大
695,ORG,密西根教育系
696,ORG,逢甲
697,PRODUCT,B24
698,ORG,RMIT
699,PERSON,Hass
700,CARDINAL,65
701,ORG,南卡大學
702,ORG, International 專科
703,GPE,台灣
704,ORG,Ross 
705,ORG, US News 
706,ORG,美國商學院
707,DATE,6～8年以上
708,GPE,台灣
709,NORP,台灣人
710,NORP,日本
711,CARDINAL,一
712,DATE,明年
713,GPE,紐約
714,GPE,紐約
715,GPE,紐約
716,DATE,六年
717,TIME,前天晚上
718,DATE,當天
719,NORP,德國
720,DATE,六年前
721,GPE,高雄
722,LANGUAGE,國語
723,NORP,老美
724,LANGUAGE,英文
725,GPE,台灣
726,ORG,聯成
727,FAC,曼哈頓大橋
728,GPE,紐約
729,GPE,紐約
730,NORP,亞洲
731,NORP,老美
732,DATE,今天
733,CARDINAL,50
734,GPE,英國
735,DATE,明年
736,CARDINAL,100
737,LANGUAGE,義大利文
738,GPE,台灣
739,DATE,前幾天
740,CARDINAL,700
741,NORP,美國
742,GPE,台灣
743,PRODUCT,B13
744,GPE,加拿大
745,PERSON,乾托福
746,CARDINAL,12
747,GPE,倫敦
748,GPE,倫敦
749,DATE,一年
750,DATE,一年
751,GPE,英國
752,GPE,臺灣
753,GPE,韓國
754,ORG,MSIS
755,ORG,GRE 
756,PRODUCT,B1 
757,GPE,加拿大
758,GPE,溫哥華
759,GPE,菲律賓
760,CARDINAL,一
761,CARDINAL,四五
762,GPE,菲律賓
763,GPE,美國
764,ORG,義大利醫學系
765,ORG,義大利醫學院
766,ORG,IMAT 
767,PERSON,彭湘平
768,LOC,美南
769,GPE,University of South Carolina
770,ORG,SCAR 
771,GPE,美南
772,TIME,15分鐘
773,FAC,捷運站
774,TIME,下午2.3點
775,CARDINAL,一
776,CARDINAL,2
777,ORG,康橋文教中心
778,DATE,上個月
779,CARDINAL,3
780,CARDINAL,兩
781,GPE,韓國
782,EVENT,台北歐洲展
783,PERSON,B27
784,LANGUAGE,英文
785,GPE,台灣
786,GPE,米蘭
787,GPE,台北
788,DATE,去年
789,CARDINAL,2/1
790,LANGUAGE,義大利文
791,DATE,今年的2/27
792,CARDINAL,兩
793,PERSON,B3 
794,DATE,去年
795,DATE,今年
796,PERSON,B2 
797,GPE,台灣
798,GPE,美國
799,NORP,台灣
800,QUANTITY,零下負三十度
801,GPE,曼尼托巴省
802,ORDINAL,第一
803,CARDINAL,一
804,DATE,冬天
805,ORDINAL,第一
806,CARDINAL,一
807,LANGUAGE,英文
808,GPE,加拿大
809,QUANTITY,四十度
810,DATE,大年初二
811,CARDINAL,一
812,CARDINAL,兩
813,DATE,半年
814,CARDINAL,一
815,DATE,2018/06/30
816,DATE,兩年半
817,GPE,加拿大
818,LANGUAGE,英文
819,LANGUAGE,英文
820,GPE,加拿大
821,DATE,2016年
822,GPE,台灣
823,GPE,台灣
824,DATE,三年前
825,LANGUAGE,英語
826,ORG,勃艮第大學
827,GPE,法國
828,DATE,明年
829,GPE,加拿大
830,ORG,劍橋
831,GPE,雲林
832,ORG,羅馬分校
833,CARDINAL,一
834,CARDINAL,兩
835,GPE,美國
836,ORDINAL,第一
837,CARDINAL,三
838,LOC,亞洲
839,NORP,美國
840,CARDINAL,三
841,ORG,Apartment
842,GPE,台灣
843,LOC,亞洲
844,ORG,羅馬分校
845,CARDINAL,一
846,PERSON,B8 
847,LANGUAGE,英文
848,CARDINAL,16
849,GPE,美國
850,GPE,澳洲
851,GPE,台灣
852,CARDINAL,三
853,GPE,英國
854,GPE,北京
855,GPE,澳洲
856,ORDINAL,五
857,CARDINAL,兩
858,LANGUAGE,中文
859,GPE,台灣
860,PERSON,哈哈哈
861,DATE,一兩年
862,GPE,澳洲
863,GPE,台灣
864,DATE,一年
865,GPE,荷蘭
866,CARDINAL,B9
867,CARDINAL,1/5
868,GPE,大陸
869,GPE,大陸
870,GPE,大陸
871,TIME,7分鐘
872,PERSON,B2 
873,LANGUAGE,中文
874,GPE,加拿大
875,GPE,台灣
876,DATE,2年
877,GPE,台灣
878,GPE,台灣
879,PERSON,B9 
880,CARDINAL,13
881,PRODUCT,B12
882,PERSON,B14
883,PRODUCT,B15
884,GPE,杜拜
885,DATE,暑假
886,PERSON,謝
887,TIME,3/30
888,DATE,禮拜天
889,CARDINAL,1/6
890,PERSON,B1 
891,ORG,IRCC
892,GPE,台灣
893,GPE,加拿大
894,GPE,奧克蘭
895,CARDINAL,一
896,GPE,台灣
897,GPE,台灣
898,GPE,台灣
899,GPE,台灣
900,ORG,B9 
901,DATE,兩年前
902,GPE,倫敦
903,DATE,一年半
904,GPE,美國
905,GPE,台北
906,GPE,美國
907,NORP,台灣人
908,NORP,美國
909,PERSON,狄卡
910,ORG, Home Depot 
911,NORP,墨西哥人
912,GPE,美國
913,NORP,美國
914,NORP,台灣
915,CARDINAL,一
916,NORP,馬來西亞
917,ORG,offer
918,DATE,2014年3月28日
919,GPE,倫敦
920,NORP,台灣人
921,GPE,台灣
922,ORG,OQTAGON
923,GPE,英國
924,ORDINAL,第一
925,PERSON,la 
926,DATE,今年
927,ORG,unlv大學
928,PERSON,B5 
929,GPE,美國
930,GPE,台灣
931,GPE,倫敦
932,DATE,一年
933,DATE,今年
934,DATE,第一年
935,PERSON,Angela 
936,LANGUAGE,中文
937,CARDINAL,一
938,ORDINAL,第二
939,LANGUAGE,英文
940,LANGUAGE,英文
941,LANGUAGE,中文
942,ORDINAL,第三
943,ORG,移民署
944,NORP,韓國人
945,LANGUAGE,英文
946,GPE,台灣
947,LANGUAGE,英文
948,DATE,一年
949,NORP,台灣人
950,LANGUAGE,英文
951,NORP,非洲
952,ORDINAL,第二
953,GPE,日本人
954,GPE,美國
955,NORP,台灣人
956,GPE,英國
957,GPE,倫敦
958,LANGUAGE,英文
959,PERSON,B2 
960,CARDINAL,兩
961,PERSON,B5 
962,GPE,美國
963,NORP,英國
964,GPE,台灣
965,LANGUAGE,中文
966,GPE,紐西蘭
967,LANGUAGE,英文
968,GPE,紐西蘭
969,LANGUAGE,中文
970,GPE,臺灣
971,LANGUAGE,英文
972,GPE,紐西蘭
973,NORP,台灣人
974,GPE,紐西蘭
975,DATE,明天
976,CARDINAL,14
977,NORP,中國人
978,NORP,臺灣人
979,NORP,臺灣人
980,GPE,紐西蘭
981,GPE,西班牙
982,GPE,瑞典
983,ORG,工作會
984,DATE,2016年
985,DATE,2013年
986,GPE,熊本
987,NORP,日本
988,DATE,昨天
989,ORG,SUNY
990,GPE,台灣
991,LANGUAGE,英文
992,DATE,十四年
993,LANGUAGE,中文
994,LANGUAGE,英文
995,NORP,英國人
996,LANGUAGE,英文
997,GPE,台灣
998,LANGUAGE,英文
999,LANGUAGE,英文
1000,GPE,上海
1001,DATE,今天
1002,PERSON,耶 
1003,LANGUAGE,英文
1004,LANGUAGE,英文
1005,NORP,印度人
1006,LANGUAGE,中文
1007,CARDINAL,三
1008,DATE,2019/9
1009,CARDINAL,2
1010,GPE,加拿大
1011,NORP,亞洲人
1012,LANGUAGE,英文
1013,LANGUAGE,中文
1014,DATE,20多年
1015,GPE,德國
1016,LANGUAGE,中文
1017,LANGUAGE,中文
1018,CARDINAL,一
1019,DATE,好幾年
1020,LANGUAGE,英文
1021,LANGUAGE,英文
1022,GPE,法國
1023,NORP,中東印度人
1024,LANGUAGE,英文
1025,LANGUAGE,中文
1026,LANGUAGE,中文
1027,DATE,2019四月
1028,TIME,ECC+1
1029,DATE,去年
1030,PERSON,B12 
1031,DATE,10年
1032,LANGUAGE,英文
1033,GPE,台灣
1034,GPE,中國大陸
1035,LANGUAGE,英文
1036,GPE,澳洲
1037,GPE,台灣
1038,DATE,今天
1039,LANGUAGE,英文
1040,LANGUAGE,中文
1041,ORG,UCLA
1042,DATE,一個月
1043,CARDINAL,13
1044,GPE,美國
1045,PERSON,哈哈哈
1046,PERSON,B8  
1047,GPE,南臺
1048,CARDINAL,87
1049,GPE,台灣
1050,PERSON,B15 
1051,PERSON,Smith
1052,LANGUAGE,英文
1053,PERSON,陳花
1054,LANGUAGE,中文
1055,LANGUAGE,中文
1056,LANGUAGE,中文名
1057,LANGUAGE,中文名
1058,LANGUAGE,英文
1059,GPE,澳洲
1060,PERSON,B1 迪卡
1061,CARDINAL,400
1062,ORG,永豐Debit card
1063,NORP,台灣人
1064,CARDINAL,兩
1065,PERSON,i'm calling cops
1066,LANGUAGE,英國腔
1067,LANGUAGE,英文
1068,NORP,羅馬人
1069,PERSON,B9 
1070,NORP,美國人
1071,LANGUAGE,英文
1072,LANGUAGE,英文
1073,LANGUAGE,中文
1074,LANGUAGE,英文
1075,LANGUAGE,中文
1076,CARDINAL,一
1077,LANGUAGE,中文
1078,LANGUAGE,英文
1079,CARDINAL,一
1080,LANGUAGE,英文
1081,LANGUAGE,中文
1082,GPE,美國
1083,NORP,台灣人
1084,ORDINAL,第二
1085,ORDINAL,第三
1086,GPE,美國
1087,GPE,美國
1088,ORG,B4 南加州大學
1089,GPE,台灣
1090,ORG,延世語學堂
1091,GPE,韓國
1092,GPE,台
1093,DATE,半年
1094,GPE,菲律賓
1095,GPE,愛爾蘭
1096,DATE,半年
1097,GPE,菲律賓
1098,GPE,台灣
1099,GPE,菲律賓
1100,CARDINAL,三
1101,DATE,半年
1102,NORP,台灣人
1103,PERSON,Winterpeg 
1104,ORG,曼大
1105,PERSON,哈哈 
1106,NORP,大陸人
1107,GPE,Winnipeg 
1108,ORG,SOP  
1109,LANGUAGE,英語
1110,LANGUAGE,中文
1111,GPE,荷蘭
1112,LANGUAGE,英文
1113,PRODUCT,B13 
1114,LANGUAGE,英文
1115,LANGUAGE,英文
1116,GPE,溫哥華
1117,PERSON,B15  
1118,GPE,美國
1119,PRODUCT,B10
1120,LANGUAGE,中文
1121,LANGUAGE,英文
1122,GPE,淡江
1123,LANGUAGE,英文
1124,LANGUAGE,中文
1125,LANGUAGE,中文
1126,CARDINAL,兩
1127,NORP,台灣
1128,CARDINAL,兩
1129,GPE,美國
1130,ORG,哈佛
1131,DATE,2018
1132,LANGUAGE,中文
1133,CARDINAL,8
1134,NORP,中國
1135,MONEY,8萬塊
1136,CARDINAL,100
1137,MONEY,5萬人民幣
1138,PERSON,us news 
1139,GPE,台灣
1140,DATE,1/26
1141,CARDINAL,一
1142,CARDINAL,一
1143,DATE,一個月
1144,GPE,台北
1145,DATE,今年
1146,ORG,安麗
1147,ORG,美國銀行
1148,ORG,App
1149,ORG,Starbucks
1150,ORG,台哥大
1151,DATE,今天
1152,TIME,3分鐘
1153,CARDINAL,三
1154,CARDINAL,五
1155,GPE,台灣
1156,NORP,亞洲人
1157,NORP,德國人
1158,CARDINAL,7
1159,CARDINAL,9
1160,GPE,台灣
1161,CARDINAL,五
1162,LANGUAGE,英語系
1163,LANGUAGE,英語系
1164,GPE,台灣
1165,NORP,華人
1166,LANGUAGE,中文
1167,PERSON,王瑪莉李傑克
1168,TIME,早上
1169,PERSON,迪卡
1170,CARDINAL,4
1171,CARDINAL,一
1172,CARDINAL,三分之二
1173,GPE,倫敦
1174,CARDINAL,10
1175,CARDINAL,12
1176,GPE,英國
1177,CARDINAL,14
1178,GPE,美國
1179,GPE,台灣
1180,GPE,台灣
1181,PERSON,b19
1182,DATE,19春季
1183,DATE,下星期週末
1184,ORG,Stanford
1185,GPE,美國
1186,DATE,冬天
1187,PERSON,Winterpeg
1188,GPE,Winnipeg
1189,NORP,加拿大
1190,ORG,ICE
1191,DATE,今年
1192,LOC,歐洲
1193,DATE,今年九月
1194,GPE,荷蘭
1195,CARDINAL,五
1196,GPE,台灣
1197,ORDINAL,第一
1198,PERSON,哈哈哈 
1199,ORG,台灣航空公司
1200,DATE,四年
1201,GPE,台灣
1202,LANGUAGE,英文
1203,DATE,兩年
1204,GPE,比利時
1205,DATE,二月
1206,TIME,十幾個小時
1207,TIME,5小時
1208,GPE,台灣
1209,CARDINAL,一
1210,DATE,今年
1211,GPE,澳洲
1212,GPE,澳洲
1213,DATE,今年
1214,GPE,澳洲
1215,GPE,雪梨
1216,DATE,中秋節
1217,DATE,中秋節
1218,GPE,雪梨
1219,GPE,台灣
1220,DATE,5年
1221,GPE,中
1222,GPE,英
1223,GPE,美
1224,GPE,斯洛維尼亞
1225,DATE,二月
1226,GPE,美國
1227,GPE,澳洲
1228,PERSON,B29
1229,LANGUAGE,英式
1230,LANGUAGE,中文
1231,NORP,英式
1232,LANGUAGE,中文
1233,LANGUAGE,日文
1234,GPE,台灣
1235,GPE,台灣
1236,PERSON,B30 
1237,GPE,加拿大
1238,CARDINAL,6.5-7.0
1239,LANGUAGE,英文
1240,DATE,一年
1241,ORG,雅斯
